Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Historisches Museum Frankfurt,Kleider in Bewegung,https://codingdavinci.de/de/daten/kleider-bewegung,"Die bereitgestellten Objekte sind Teil der Sammlung Mode und Textil aus der Zeitspanne zwischen 1850 und 1930, die aktuell im Rahmen des Forschungsprojekts „Kleider in Bewegung“ genauer untersucht werden. Der Bestand gibt Aufschluss über die Bewegung, Geschwindigkeit und Mobilität des menschlichen Körpers in dieser Epoche.
Welche Bewegungsspielräume und -formen ließen Materialität und Schnitte zu - oder welche eben nicht? Die schwere, hochgeschlossene Kleidung in der zweiten Hälfte des 19. Jahrhunderts gibt andere Bewegungsabläufe vor als die leichte, korsettfreie sog. Reformkleidung der 1920er Jahre. Für den Coding da Vinci Hackathon hat das Museum 5 Objekte ausgesucht und von allen Seiten fotografiert, so dass eine Rundum-Ansicht möglich ist.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Foto eines 3D Sammlungsobjektes","CC BY-SA 4.0, Historisches Museum Frankfurt","CSV, XLS",,,"CC0 1.0, Historisches Museum Frankfurt",,Rhein-Main 2018
"Hochschule für Technik und Wirtschaft Berlin, Historisches Archiv",Stoffmusterbücher aus dem Historischen Archiv der HTW,https://codingdavinci.de/de/daten/stoffmusterbuecher-aus-dem-historischen-archiv-der-htw,"Das Historische Archiv der HTW Berlin bewahrt unter anderem rund 50 großformatige Stoffmusterbücher bzw. ­Mappen (mit einzelnen Tafeln, sog. Tafelkonvolute) aus der Zeit um 1830­-1930. Sie bilden den (vermutlich) kleineren Teil einer umfangreichen Lehr­- und Studiensammlung der ehemaligen Städtischen Höheren Webeschule (einer Vorgängereinrichtung der HTW). Der Großteil dieser Sammlung ist 1956 an das Kunstgewerbemuseum SMB­PK abgegeben worden. Der gesamte Bestand stellt eine vielschichtige Quelle für die Textilstadt Berlin dar und hat große Bedeutung für die kulturhistorische Textil­ und Modeforschung. Die Bücher liegen als Kollektionsmusterbücher, Konkurrenzmusterbücher oder Tafelkonvolute vor. Für Coding da Vinci haben wir einen Teil der Stoffmuster ausgewählt: Baumwolldruck, Webmuster, Borten. Sie sind wegen ihrer großen Vielfalt an Strukturen, Mustern und Farben formal und ästhetisch interessant. Unklar sind bislang die genaue Datierung, die Hersteller sowie mögliche Vorbilder für die Muster. Daher enthalten die Metadaten nur wenige Angaben, vor allem zur Kategorisierung der einzelnen Bücher und zu ihrem Zustand. Die einzelnen Datensätze lassen sich über die Inventarnummern mit den Mediendateien in der Wikimedia Commons verknüpfen.
Art der Mediendateien: 2D­-Scans der Stoffmuster
Georeferenzen: liegen bislang nicht vor.
Kontrolliertes Vokabular: keines
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Gesellschaft und Alltagsleben, Kunst und Kultur, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,XML,LIDO-XML,,CC BY-SA 4.0,,Berlin 2015
"Universität Leipzig, Humboldt Lehrstuhl für Digital Humanities",Texte klassischer Philologien,https://codingdavinci.de/de/daten/texte-klassischer-philologien,"Unsere Sammlung besteht aus klassischen Texten verschiedener Sprachkulturen, wobei wir das traditionelle Verständnis des Begriffes ""Klassische Philologie“ bewusst erweitern und neben einer umfangreichen Sammlung altgriechischer und lateinischer Texte auch zahlreiche arabische und deutsche Materialien sammeln. Wir verfolgen das Ziel unserer Sammlung anzureichern und das Gebiet der zu Verfügung stehenden Sprachen zu erweitern, was auch nicht nur fremdsprachige Ausgangstexte, sondern auch die Übersetzungen solcher Texte einschließt. Patrologie Latina, Digital Marmor Parium und Digital Hill sind einige unserer Projekte, die sich auf Digitalisierung und Herstellung neuer digitalen Editionen der klassischen Texte beziehen. Diese Open­ Access­-Sammlung ist für alle interessierten Forscher, Sprachlehrenden, Computerlinguisten usw. unter einer offenen Lizenz bereitgestellt. Mehr dazu unter: https://github.com/OpenGreekAndLatin
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,Sprache und Literatur,"Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,XML,TEI,,CC BY-SA 4.0,,Berlin 2015
Deutsches Museum,Notenrollen für selbstspielende Klaviere,https://codingdavinci.de/de/daten/notenrollen-fuer-selbstspielende-klaviere,"Ende des 19. Jahrhunderts kamen die ersten selbstspielenden Klaviere auf den Markt, die von Notenrollen gesteuert wurden. Bald darauf gab es eine Vielzahl verschiedener Systeme und Anbieter. Als Zentren bildeten sich die USA und Deutschland heraus. In der Sammlung des Deutschen Museums befinden sich heute über 3.000 Notenrollen unterschiedlicher Systeme aus dem Zeitraum von 1905 bis 1935, darunter Originalaufnahmen von Claude Debussy, Edvard Grieg, Max Reger und Richard Strauss sowie bedeutender Pianistinnen und Pianisten wie Wilhelm Backhaus, Teresa Carreño, Vladimir Horowitz, Carl Reinecke und Artur Schnabel. Die Notenrollen des Deutschen Museums wurden seit Januar 2013 in einem von der Deutschen Forschungsgemeinschaft (DFG) geförderten Projekt erschlossen und digitalisiert. Hierzu wurden zentrale Beschreibungsparameter der Notenrollen in einer Datenbank erfasst, die Daten normiert und die Rollen fotografisch dokumentiert.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Gesellschaft und Alltagsleben, Kunst und Kultur, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,XML,LIDO-XML,,CC BY-SA 4.0,,Berlin 2015
Deutsches Museum,Notenrollen für selbstspielende Klaviere,https://codingdavinci.de/de/daten/notenrollen-fuer-selbstspielende-klaviere,"Ende des 19. Jahrhunderts kamen die ersten selbstspielenden Klaviere auf den Markt, die von Notenrollen gesteuert wurden. Bald darauf gab es eine Vielzahl verschiedener Systeme und Anbieter. Als Zentren bildeten sich die USA und Deutschland heraus. In der Sammlung des Deutschen Museums befinden sich heute über 3.000 Notenrollen unterschiedlicher Systeme aus dem Zeitraum von 1905 bis 1935, darunter Originalaufnahmen von Claude Debussy, Edvard Grieg, Max Reger und Richard Strauss sowie bedeutender Pianistinnen und Pianisten wie Wilhelm Backhaus, Teresa Carreño, Vladimir Horowitz, Carl Reinecke und Artur Schnabel. Die Notenrollen des Deutschen Museums wurden seit Januar 2013 in einem von der Deutschen Forschungsgemeinschaft (DFG) geförderten Projekt erschlossen und digitalisiert. Hierzu wurden zentrale Beschreibungsparameter der Notenrollen in einer Datenbank erfasst, die Daten normiert und die Rollen fotografisch dokumentiert.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Gesellschaft und Alltagsleben, Kunst und Kultur, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,XML,LIDO-XML,,CC BY-SA 4.0,,Süd 2019
Computerspielemuseum,Spielen im 20. Jahrhundert: Konsolen und Computer,https://codingdavinci.de/de/daten/spielen-im-20-jahrhundert-konsolen-und-computer,"Computerspiele sind ein bedeutsamer Bestandteil unserer zunehmend durch digitale Technologien geprägten Kultur. Das Computerspielemuseum setzt sich aktiv dafür ein, die Kultur und Geschichte von digitalen Spielen einem breitem Publikum mit Hilfe von Ausstellungen, medienpädagogischen Angeboten, Veranstaltungen und Publikationen zu vermitteln. Ziel ist es, das Verständnis von digitalen interaktiven Unterhaltungsmedien zu vertiefen und so die Medienkompetenz zu erhöhen. Im Bewusstsein dieser gesellschaftlichen Verantwortung bietet das Computerspielemuseum vergünstigte Zugangsbedingungen für Heranwachsende, Erwerbslose, Familien und Schulklassen. Des Weiteren sammeln und bewahren wir Computerspiele, die benötigte Computertechnik und andere, mit der Computerspielekultur verbundene Artefakte, um heute und in Zukunft ein besseres Verständnis unserer Gesellschaft zu ermöglichen. Oberstes Ziel dabei ist eine gute Erschließung und Beschreibung, um einen möglichst breiten und geregelten Zugang zu diesem Ausschnitt unseres digitalen Erbes zu ermöglichen. Um die Bedingungen der Vermittlung, Sammlung, Erschließung und Bewahrung von Computerspielen zu verbessern, ist das Computerspielemuseum regelmäßig Initiator und Partner wissenschaftlicher Projekte. Um deren Ergebnisse möglichst breit und vielfältig nutzbar zu machen, hat sich das Computerspielemuseum zur Einhaltung der Kriterien zur Sicherung guter wissenschaftlicher Praxis verpflichtet.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Bildung und Erziehung, Medien und Information, Sport und Spiel, Technik und Wissenschaft","Bild, Scan eines Fotos",CC BY-SA 3.0,XML,LIDO-XML,,CC0 1.0,,Berlin 2015
Museumsdorf Cloppenburg – Niedersächsisches Freilichtmuseum,"Blumenmoden, Zeitgeschmack und Weltbezug von 1700 bis 1900",https://codingdavinci.de/de/daten/blumenmoden-zeitgeschmack-und-weltbezug-von-1700-bis-1900,"Das Museumsdorf hat aus seinen Sammlungen - hierbei handelt es sich um Keramik, Grafik, Kleidung, Möbel und Zinn - Objekte mit floralen Motiven aus der Zeit zwischen 1700 und 1900 ausgewählt. Diese Dekore stellen die markanten Pflanzen aufeinander folgender zeitgenössischer Garten- und Blumenmoden vor und verweisen damit zugleich auf den Niederschlag weltumspannenden Handelns und Entdeckens in der Ausgestaltung privater Lebensumgebungen.
Die Auswahl lädt zu einer zeitgeschichtlichen Weltreise ein: mit den Tulpen in die Türkei und in die Niederlande, mit den Nelken ans Mittelmeer, mit der Dahlie/Georgine und Alexander von Humboldt nach Mexiko, mit der Pelargonie nach Afrika ans Kap der Guten Hoffnung, mit der Amaryllis in die peruanischen Anden, mit den Rhododendren sowohl in die Rocky Mountains wie in den Himalaya usw. Gleichzeitig spiegelt sie die Aneignung dieser Blumenpracht in Gestalt von modischen Objekten und ihren Dekoren auf Gegenständen des privaten Alltags – vom Barock über Klassizismus und Biedermeier bis hin zur Gründerzeit
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA,CSV,,,CC0 1.0,,Berlin 2015
Bayerische Staatsbibliothek,"Titeldaten und Bestandsnachweise der Bibliotheken in Bayern, Berlin und Brandenburg",https://codingdavinci.de/de/daten/titeldaten-und-bestandsnachweise-der-bibliotheken-bayern-berlin-und-brandenburg,"Der Gemeinsame Verbundkatalog der wissenschaftlichen Bibliotheken Bayerns, Berlins und Brandenburgs enthält die Metadaten aller dort verfügbaren Medien. Die Daten der rund 26 Mio. Titel umfassen grundlegende bibliographische Informationen wie Autoren, Titel und Erscheinungsjahre, aber auch deren sachliche und klassifikatorische Erschließung. Zusätzlich sind die im Verbundkatalog vorhandenen Bestandsnachweise nutzbar. Mit ihnen können Sie abfragen, in welchen Bibliotheken die Medien erhältlich sind. Die Daten sind mit zahlreichen Links auf weitere Linked Open Data­ Angebote versehen:­
Gemeinsame Normdatei (u.a. sachliche Erschließung mit Schlagworten, Personennormdaten zu Urhebern und Beitragenden)­
Dewey Decimal Classification (klassifikatorische Erschließung mit der DDC)­
Titelaufnahmen in den anderen deutschen Verbünden­ Bibliotheks­ Metadaten auf lobid.org (u.a. Geokoordinaten und Adressen der Bibliotheken)
Die verwendeten Prädikate folgen den Empfehlungen der DINI AG KIM Titeldaten, die die deutschen Bibliotheksverbünde gemeinsam erstellt haben und umsetzen. Die Daten liegen als RDF vor, so dass u.a. alle verlinkten Daten direkt zusammen mit dem angebotenen Datenset verwendbar sind. Die B3Kat-­Daten können Sie im Format RDF/Turtle von  https://lod.b3kat.de/doc/download  herunterladen, oder über  http://lod.b3kat.de/sparql  abfragen.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,Medien und Information,"Text, Verzeichnis",CC0 1.0,,RDF-Turtle,GND,CC0 1.0,,Berlin 2015
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,"Die Deutsche Digitale Bibliothek (DDB) vernetzt die digitalen Bestände der Kultur- und Wissenschaftseinrichtungen und macht sie zentral zugänglich: für menschliche Nutzerinnen und Nutzer in ihrem  Portal  und für maschinellen Zugriff über ihr  API  .
Die DDB arbeitet spartenübergreifend, ihre Partner sind Archive, Bibliotheken, Denkmalämter, Forschungseinrichtungen, Mediatheken und Museen. Im März 2019 umfasste die DDB fast  25 Millionen Datensätze  von 380  datengebenden Einrichtungen  . Jeden Monat kommen neue Datengeber hinzu. Von den bei Coding da Vinci teilnehmenden Kultureinrichtungen ist ca. die Hälfte mit ihren Daten bereits in der DDB vertreten.
Ein Datensatz in der Deutschen Digitalen Bibliothek besteht aus Metadaten und, in der Hälfte der Fälle, aus Bild-, PDF-, Audio- oder Videodateien, die eine Vorschau auf das beim Datengeber verfügbare Digitalisat bieten. Das interne Metadatenformat der DDB ermöglicht die semantische Verknüpfung der Datensätze sowohl untereinander, beispielsweise über Personen, die als Schöpfer oder Gegenstand von Werken vorkommen können, als auch mit externen Datenbanken wie der  Gemeinsamen Normdatei  oder der Wikipedia. Alle Datensätze enthalten maschinenlesbare  Rechteauszeichnungen  , die die rechtskonforme Weiterverwendung der in der DDB verzeichneten digitalen Objekte ermöglichen. Die Metadaten in der Deutschen Digitalen Bibliothek stehen grundsätzlich unter der  CC0-Lizenz.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen","Text, Amtliche Publikation, Bericht, Biografie, Buch, Druckwerk, Enzyklopädie, Quelle, Statistik, Verzeichnis, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos, Bildnis (Porträt), Gemälde, Druckgrafik, Zeichnung, Karikatur, Karte, Plan, Ton, Musik, Naturgeräusch, Rede, Soundeffekt, Video, Amateurfilm, Dokumentarfilm","CC BY 3.0

, 
CC BY 3.0 DE, je nach Datenquelle

, 
CC BY 4.0, je nach Datenquelle

, 
CC BY-SA 3.0, je nach Datenquelle

, 
CC BY-SA 3.0 DE, je nach Datenquelle

, 
CC BY-SA 4.0, je nach Datenquelle

, 
CC0 1.0, je nach Datenquelle

, 
public domain, je nach Datenquelle

,","JSON, XML",EDM,"GND, Wikidata",CC0 1.0,,Berlin 2014
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,"Die Deutsche Digitale Bibliothek (DDB) vernetzt die digitalen Bestände der Kultur- und Wissenschaftseinrichtungen und macht sie zentral zugänglich: für menschliche Nutzerinnen und Nutzer in ihrem  Portal  und für maschinellen Zugriff über ihr  API  .
Die DDB arbeitet spartenübergreifend, ihre Partner sind Archive, Bibliotheken, Denkmalämter, Forschungseinrichtungen, Mediatheken und Museen. Im März 2019 umfasste die DDB fast  25 Millionen Datensätze  von 380  datengebenden Einrichtungen  . Jeden Monat kommen neue Datengeber hinzu. Von den bei Coding da Vinci teilnehmenden Kultureinrichtungen ist ca. die Hälfte mit ihren Daten bereits in der DDB vertreten.
Ein Datensatz in der Deutschen Digitalen Bibliothek besteht aus Metadaten und, in der Hälfte der Fälle, aus Bild-, PDF-, Audio- oder Videodateien, die eine Vorschau auf das beim Datengeber verfügbare Digitalisat bieten. Das interne Metadatenformat der DDB ermöglicht die semantische Verknüpfung der Datensätze sowohl untereinander, beispielsweise über Personen, die als Schöpfer oder Gegenstand von Werken vorkommen können, als auch mit externen Datenbanken wie der  Gemeinsamen Normdatei  oder der Wikipedia. Alle Datensätze enthalten maschinenlesbare  Rechteauszeichnungen  , die die rechtskonforme Weiterverwendung der in der DDB verzeichneten digitalen Objekte ermöglichen. Die Metadaten in der Deutschen Digitalen Bibliothek stehen grundsätzlich unter der  CC0-Lizenz.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen","Text, Amtliche Publikation, Bericht, Biografie, Buch, Druckwerk, Enzyklopädie, Quelle, Statistik, Verzeichnis, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos, Bildnis (Porträt), Gemälde, Druckgrafik, Zeichnung, Karikatur, Karte, Plan, Ton, Musik, Naturgeräusch, Rede, Soundeffekt, Video, Amateurfilm, Dokumentarfilm","CC BY 3.0

, 
CC BY 3.0 DE, je nach Datenquelle

, 
CC BY 4.0, je nach Datenquelle

, 
CC BY-SA 3.0, je nach Datenquelle

, 
CC BY-SA 3.0 DE, je nach Datenquelle

, 
CC BY-SA 4.0, je nach Datenquelle

, 
CC0 1.0, je nach Datenquelle

, 
public domain, je nach Datenquelle

,","JSON, XML",EDM,"GND, Wikidata",CC0 1.0,,Berlin 2015
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,"Die Deutsche Digitale Bibliothek (DDB) vernetzt die digitalen Bestände der Kultur- und Wissenschaftseinrichtungen und macht sie zentral zugänglich: für menschliche Nutzerinnen und Nutzer in ihrem  Portal  und für maschinellen Zugriff über ihr  API  .
Die DDB arbeitet spartenübergreifend, ihre Partner sind Archive, Bibliotheken, Denkmalämter, Forschungseinrichtungen, Mediatheken und Museen. Im März 2019 umfasste die DDB fast  25 Millionen Datensätze  von 380  datengebenden Einrichtungen  . Jeden Monat kommen neue Datengeber hinzu. Von den bei Coding da Vinci teilnehmenden Kultureinrichtungen ist ca. die Hälfte mit ihren Daten bereits in der DDB vertreten.
Ein Datensatz in der Deutschen Digitalen Bibliothek besteht aus Metadaten und, in der Hälfte der Fälle, aus Bild-, PDF-, Audio- oder Videodateien, die eine Vorschau auf das beim Datengeber verfügbare Digitalisat bieten. Das interne Metadatenformat der DDB ermöglicht die semantische Verknüpfung der Datensätze sowohl untereinander, beispielsweise über Personen, die als Schöpfer oder Gegenstand von Werken vorkommen können, als auch mit externen Datenbanken wie der  Gemeinsamen Normdatei  oder der Wikipedia. Alle Datensätze enthalten maschinenlesbare  Rechteauszeichnungen  , die die rechtskonforme Weiterverwendung der in der DDB verzeichneten digitalen Objekte ermöglichen. Die Metadaten in der Deutschen Digitalen Bibliothek stehen grundsätzlich unter der  CC0-Lizenz.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen","Text, Amtliche Publikation, Bericht, Biografie, Buch, Druckwerk, Enzyklopädie, Quelle, Statistik, Verzeichnis, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos, Bildnis (Porträt), Gemälde, Druckgrafik, Zeichnung, Karikatur, Karte, Plan, Ton, Musik, Naturgeräusch, Rede, Soundeffekt, Video, Amateurfilm, Dokumentarfilm","CC BY 3.0

, 
CC BY 3.0 DE, je nach Datenquelle

, 
CC BY 4.0, je nach Datenquelle

, 
CC BY-SA 3.0, je nach Datenquelle

, 
CC BY-SA 3.0 DE, je nach Datenquelle

, 
CC BY-SA 4.0, je nach Datenquelle

, 
CC0 1.0, je nach Datenquelle

, 
public domain, je nach Datenquelle

,","JSON, XML",EDM,"GND, Wikidata",CC0 1.0,,Nord 2016
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,"Die Deutsche Digitale Bibliothek (DDB) vernetzt die digitalen Bestände der Kultur- und Wissenschaftseinrichtungen und macht sie zentral zugänglich: für menschliche Nutzerinnen und Nutzer in ihrem  Portal  und für maschinellen Zugriff über ihr  API  .
Die DDB arbeitet spartenübergreifend, ihre Partner sind Archive, Bibliotheken, Denkmalämter, Forschungseinrichtungen, Mediatheken und Museen. Im März 2019 umfasste die DDB fast  25 Millionen Datensätze  von 380  datengebenden Einrichtungen  . Jeden Monat kommen neue Datengeber hinzu. Von den bei Coding da Vinci teilnehmenden Kultureinrichtungen ist ca. die Hälfte mit ihren Daten bereits in der DDB vertreten.
Ein Datensatz in der Deutschen Digitalen Bibliothek besteht aus Metadaten und, in der Hälfte der Fälle, aus Bild-, PDF-, Audio- oder Videodateien, die eine Vorschau auf das beim Datengeber verfügbare Digitalisat bieten. Das interne Metadatenformat der DDB ermöglicht die semantische Verknüpfung der Datensätze sowohl untereinander, beispielsweise über Personen, die als Schöpfer oder Gegenstand von Werken vorkommen können, als auch mit externen Datenbanken wie der  Gemeinsamen Normdatei  oder der Wikipedia. Alle Datensätze enthalten maschinenlesbare  Rechteauszeichnungen  , die die rechtskonforme Weiterverwendung der in der DDB verzeichneten digitalen Objekte ermöglichen. Die Metadaten in der Deutschen Digitalen Bibliothek stehen grundsätzlich unter der  CC0-Lizenz.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen","Text, Amtliche Publikation, Bericht, Biografie, Buch, Druckwerk, Enzyklopädie, Quelle, Statistik, Verzeichnis, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos, Bildnis (Porträt), Gemälde, Druckgrafik, Zeichnung, Karikatur, Karte, Plan, Ton, Musik, Naturgeräusch, Rede, Soundeffekt, Video, Amateurfilm, Dokumentarfilm","CC BY 3.0

, 
CC BY 3.0 DE, je nach Datenquelle

, 
CC BY 4.0, je nach Datenquelle

, 
CC BY-SA 3.0, je nach Datenquelle

, 
CC BY-SA 3.0 DE, je nach Datenquelle

, 
CC BY-SA 4.0, je nach Datenquelle

, 
CC0 1.0, je nach Datenquelle

, 
public domain, je nach Datenquelle

,","JSON, XML",EDM,"GND, Wikidata",CC0 1.0,,Berlin 2017
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,"Die Deutsche Digitale Bibliothek (DDB) vernetzt die digitalen Bestände der Kultur- und Wissenschaftseinrichtungen und macht sie zentral zugänglich: für menschliche Nutzerinnen und Nutzer in ihrem  Portal  und für maschinellen Zugriff über ihr  API  .
Die DDB arbeitet spartenübergreifend, ihre Partner sind Archive, Bibliotheken, Denkmalämter, Forschungseinrichtungen, Mediatheken und Museen. Im März 2019 umfasste die DDB fast  25 Millionen Datensätze  von 380  datengebenden Einrichtungen  . Jeden Monat kommen neue Datengeber hinzu. Von den bei Coding da Vinci teilnehmenden Kultureinrichtungen ist ca. die Hälfte mit ihren Daten bereits in der DDB vertreten.
Ein Datensatz in der Deutschen Digitalen Bibliothek besteht aus Metadaten und, in der Hälfte der Fälle, aus Bild-, PDF-, Audio- oder Videodateien, die eine Vorschau auf das beim Datengeber verfügbare Digitalisat bieten. Das interne Metadatenformat der DDB ermöglicht die semantische Verknüpfung der Datensätze sowohl untereinander, beispielsweise über Personen, die als Schöpfer oder Gegenstand von Werken vorkommen können, als auch mit externen Datenbanken wie der  Gemeinsamen Normdatei  oder der Wikipedia. Alle Datensätze enthalten maschinenlesbare  Rechteauszeichnungen  , die die rechtskonforme Weiterverwendung der in der DDB verzeichneten digitalen Objekte ermöglichen. Die Metadaten in der Deutschen Digitalen Bibliothek stehen grundsätzlich unter der  CC0-Lizenz.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen","Text, Amtliche Publikation, Bericht, Biografie, Buch, Druckwerk, Enzyklopädie, Quelle, Statistik, Verzeichnis, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos, Bildnis (Porträt), Gemälde, Druckgrafik, Zeichnung, Karikatur, Karte, Plan, Ton, Musik, Naturgeräusch, Rede, Soundeffekt, Video, Amateurfilm, Dokumentarfilm","CC BY 3.0

, 
CC BY 3.0 DE, je nach Datenquelle

, 
CC BY 4.0, je nach Datenquelle

, 
CC BY-SA 3.0, je nach Datenquelle

, 
CC BY-SA 3.0 DE, je nach Datenquelle

, 
CC BY-SA 4.0, je nach Datenquelle

, 
CC0 1.0, je nach Datenquelle

, 
public domain, je nach Datenquelle

,","JSON, XML",EDM,"GND, Wikidata",CC0 1.0,,Ost 2018
