Name,URL (CdV),Kurzbeschreibung,Beschreibung,Links,Lizenz des Quellcodes,Datensätze,Projekttyp,Bild,Event
Schmankerl Time Machine,https://codingdavinci.de/de/projects/2019_sued/schmankerl_time_machine.html,Kulinarischer Streifzug durch die Wirtshäuser und Speisekarten der letzten 150 Jahre,"Kommt bei Ihnen zu Hause immer nur das Gleiche auf den Tisch? Sind Sie auf der Suche nach kulinarischer Vielfalt in Ihrem Alltag? Noch ist nicht Hopfen und Malz verloren! Die ""Schmankerl Time Machine"" lädt Sie zu einem lukullischen Streifzug durch die traditionsreiche Münchner Wirtshausgeschichte der vergangenen 150 Jahre ein. Verschaffen Sie sich einen Überblick über die Legenden am Münchner Gastrohimmel, über verglühte Sterne und nie verblühende Evergreens. Stellen Sie sich aus einem Portfolio von über 380 Speisekarten und den damit verlinkten Rezepturen ihr unvergessliches Menü von Morgen zusammen. Wie wäre es mit einem Hummercocktail, gefolgt vom Hasen in der Terrine und Rehnüsschen, Fürst Pückler als krönendem Abschluss? Lassen Sie sich bei Ihrer Menükreation von den Vorschlägen anderer Nutzer inspirieren. Laden Sie die Speisekarte Ihres favorisierten Münchner Genusstempels hoch, um das Angebot noch zu erweitern. Let’s Schmankerl!
Technisch realisiert ist die ""Schmankerl Time Machine"" mit der Open-Source-Umgebung R und den auf R basierenden Paketen Shiny und Tidyverse. Um eine Anwendung auf Smartphones und Tablets ebenso zu erlauben wie auf Desktoprechnern, wird das System auf Clientseite ergänzt durch HTML5, JavaScript und das Frontend-CSS-Framework Bootstrap. Eine Lokalität kann entweder über ein Dropdown-Menü oder eine dynamische Karte (basierend auf leaflet.js und LocationIQ) ausgewählt werden. Zu jeder Lokalität werden weiterführende Informationen angeboten. Sofern digital vorhanden, werden auch alte Abbildungen der Restaurants aus dem Münchner Stadtarchiv unmittelbar eingebunden.","Webseite (https://dhvlab.gwi.uni-muenchen.de/schmankerltimemachine/), GitLab (https://gitlab.com/cds19-team/cds19)",,Münchner Speisekarten der letzten hundert Jahre,,schmankerl_time_machine.png,Süd 2019
Musel,https://codingdavinci.de/de/projects/2019_sued/musel.html,"App, die Sammeln, Speichern und Hochladen von Kunstwerken in einem mobilen Hub ermöglicht und Kunstinhalte in den Reisebuchungsprozess einbindet","Unser Projekt Musel ist eine App, die für Museen in einem Reise- und Tourismus-Umfeld wirbt. Das Grundkonzept besteht darin, Kunstinhalte im Hotelbuchungsprozess einzubinden, vom Check-in bis zu digitalen Anwendungen im Hotel.
Wir lieben verschiedene Arten von Kunst, von zeitgenössischer Kunst bis hin zu Game Art. Die Digitalisierung verbindet das Beste aus beiden Welten zu einer Fusion, die Kunstinhalte aus Museen für eine jüngere Generation relevant und frischer macht. Die Tatsache, dass unser Team multikulturell ist, treibt uns dazu, mehr über verschiedene Kulturen und Perspektiven von Kunst zu lernen und so ist dieses Projekt als Kollaboration entstanden.
Unser Open-Source-Projekt Musel Open ist eine App, die das Sammeln, Speichern und Hochladen von Kunstwerken in einem mobilen Hub ermöglicht, das wir erweitern möchten mit der Möglichkeit, sie als Sammelkarten auszudrucken. Dieses Bildungsprojekt bietet außerdem die Möglichkeit, Kindern das Codieren von Apps beizubringen und die Kultur von Open Data zu teilen. Wir haben eine native mobile App für Android OS mit XML, SQLite, PHP und MySQL entwickelt. Die dazugehörige Website wurde mit Javascript, PHP, HTML, CSS und MySQL erstellt.
Wir wurden vom Goethe-Institut eingeladen und in nur zwei Monaten ist das Team mit Mitgliedern aus verschiedenen Städten wie München, Berlin und Bonn gewachsen, um innerhalb kürzester Zeit ein stärkeres Projekt zu verwirklichen. Da wir bereits in 6 verschiedenen Ländern vertreten sind – Elfenbeinküste, Senegal, Deutschland, Tansania, Indonesien – und zudem unterschiedliche berufliche Herkünfte repräsentieren – von der Kreativbranche über IKT bis hin zu Kunst- und Bibliothekskuration – wollen wir perspektivisch das erste interaktive Magazin herausbringen, das die Digitalisierung im Museumssektor aus einer globalen Perspektive (Afrika, Europa und Asien) erklärt und fördert.","Webseite (http://www.musel.group), GitHub (https://github.com/musel-freedom), Twitter (https://twitter.com/Musel_group?lang=de)",,Die Online-Sammlung der Bayerischen Staatsgemäldesammlungen,,musel.png,Süd 2019
Memory Game,https://codingdavinci.de/de/projects/2019_sued/memory_game.html,Gipsabgüsse des Museums für Abgüsse Klassischer Bildwerke zusammensetzen und dabei noch etwas über die Dargestellten lernen,"Zielgruppe sind alle Besucher\*innen des Museums für Abgüsse klassischer Bildwerke. Auf spielerische Weise vermittelt das Memory Game einen ersten Eindruck der verschiedenen Gipsabgüsse, indem der/die Spieler\*in Vorder- und Rückseite der einzelnen Figuren zusammen finden muss. Zudem liefert das Game den Spieler\*innen in der ""Galerie"" Informationen zu den Statuen von Göttern, mythischen Wesen und mythischen Personen, die die reale Präsentation der Skulpturen im Museum aktuell nicht in dieser Ausführlichkeit bietet. Die Umsetzung erfolgte mit Wordpress und zwei Plugins: Memory von H5P: CC BY 4.0 International und Galerie/Visual Portfolio von NK: GPLv2 or later.",Webseite (https://facedetection.eu/),,"Same Same, But Different - Abgüsse antiker Statuen",,memory_game.png,Süd 2019
Math with Models,https://codingdavinci.de/de/projects/2019_sued/math_with_models.html,Webseite zur Darstellung der Mathematische Gipsmodelle der MUT und Bereitstellung dieser als druckbare 3D-Modelle,"Wir möchten versuchen, die Mathematischen Gipsmodelle, die in Tübingen hinter Glas sicher verwahrt sind, erlebbar zu machen. Sie werden einerseits ansprechend auf einer Webseite dargestellt, andererseits als druckbare 3D-Modelle bereitgestellt, die dazu animieren sollen, diese Modelle einmal in die Hand zu nehmen und begreifbar zu machen – und am Ende vielleicht auch als Startpunkt für etwas Neues zu verwenden.
Dass dies tatsächlich gelang, ist der sehr beeindruckenden Unterstützung durch das Museum der Universität Tübingen zu verdanken (Danke, Peter!), welches nicht nur innerhalb der Universität einen professionellen 3D-Scanner organisieren konnte, sondern auch personelle Ressourcen in die Digitalisierung investiert hat.
In einem nächsten Schritt werden wir versuchen, die gescannten Modelle ""druckbarer"" zu machen, d.h. entweder filigrane Strukturen im Modell künstlich zu verstärken oder eine Bauanleitung zu veröffentlichen, mit der die Einzelteile zusammengesetzt werden können. Weiterhin wollen wir versuchen die Schäden, die in den Gips-Modellen aufgetreten sind, digital zu reparieren. Dies könnte eine Möglichkeit sein, auch stärker zerstörte Modelle zumindest virtuell wieder zu restaurieren.","Webseite (https://buccalon.github.io/math-with-models/), GitHub (https://github.com/buccalon/math-with-models)",,Dreidimensionale mathematische Modelle,,math_with_models.jpg,Süd 2019
Linked Stage Graph,https://codingdavinci.de/de/projects/2019_sued/linked_stage_graph.html,Aufführungsdaten des Staatstheaters Stuttgart für verschiedene Zielgruppen auf interessante und leicht zugängliche Weise erlebbar,"Linked Stage Graph implementiert einen Linked Data-basierten Wissensgraphen und darauf aufbauende Visualisierungen für die Aufführungsdaten und Fotografien des Stuttgarter Staatstheaters, bereitgestellt vom Landesarchiv Baden-Württemberg. Die 7.000 schwarz/weiß-Fotografien zeigen spannende Momente auf und hinter der Bühne zwischen den 1890er und 1940er Jahren. Dieser Zeitrahmen ist vor allem in Deutschland geprägt von gesellschaftlichen und politischen Umbrüchen, die auch heute noch von maßgeblicher Relevanz sind. Wir finden es wichtig, dass diese Inhalte für interessierte Nutzer\*innen einfach explorierbar und verstehbar gemacht werden. Doch erschließt sich dem Laien die archivarische Sichtweise und Systematik kaum, was den Zugang und die Möglichkeit zur Exploration erschwert.
Linked Stage Graph bietet einen Ansatz, die Daten so zu strukturieren und zu visualisieren, dass sie sowohl für technische Laien als auch für Expert\*innen auf eine interessante und einfach zugängliche Art und Weise erlebbar gemacht werden. Die Fotografien konnten wir mit Hilfe einer KI-basierten Anwendung automatisch kolorieren und ihnen damit erneut Leben einhauchen. Die verfügbaren Aufführungsmetadaten wurden aus einem proprietären XML-Format nach Linked Data überführt und mit bestehenden Wissensgraphen, wie Wikidata und der Gemeinsamen Normdatei (GND) der Deutschen Nationalbibliothek verknüpft. Das Ergebnis ist der Linked Stage Graph, dessen Inhalte über einen öffentlich verfügbaren SPARQL-Endpunkt abgefragt werden können.
So können (Linked) Data-Enthusiast\*innen komplexe Abfragen auf den vorhandenen Daten stellen und sind eingeladen, daraus eigene spannende Visualisierungen und Anwendungen zu entwickeln und sich mit dem Linked Stage Graph zu vernetzen. Theater-, Fotografie- und Kulturinteressierte haben mit unseren Timeline-Visualisierungen ebenso die Möglichkeit, die Theatergeschichte Stuttgarts aus neuen Perspektiven zu entdecken und Neues zu lernen.","Webseite (http://slod.fiz-karlsruhe.de/), GitHub (https://github.com/ISE-FIZKarlsruhe/LinkedStageGraph)",,Fotos und Grafiken des Staatstheaters Stuttgart,,linked_stage_graph.png,Süd 2019
Lauter Langweilige Sachen?,https://codingdavinci.de/de/projects/2019_sued/lauter_langweilige_sachen.html,Spielerische Entdeckungsreise durch die spannende Welt der Sammlungsobjekte des Stadtmuseums Tübingen,"Das Online-Spiel ""Lauter Langweilige Sachen?"" lädt ein zu einer Entdeckungsreise, bei welcher die Sammlungsobjekte des Stadtmuseum Tübingen spielerisch entdeckt werden können. Schritt für Schritt lernen die Spieler\*innen die Objekte kennen und verknüpfen diese mit humorvollen Beschreibungen. Besonders neugierige Nutzer\*innen können dann noch herausfinden, wie eine fast 400 Jahre alte Rechenmaschine funktioniert haben könnte.
Der Datensatz ""Lauter langweilige Sachen"" des Stadtmuseums Tübingen enthält Fotos und Metadaten von 40 ausgewählten Objekten der Städtischen Sammlung aus verschiedenen Epochen. Die Objekte reichen von historischen Alltagsgegenständen über Repräsentationsobjekte bis hin zur Obskurität – Dinge wie diese werden von vielen Menschen oft als langweilig empfunden. Das Stadtmuseum Tübingen möchten die ""langweiligen Sachen"" zukünftig auf kreative Weise neu und anders zeigen, eine Herausforderung, der wir uns mit dem Spiel ""Lauter Langweilige Sachen?"" stellen.
Das Spiel zeigt nach der Auswahl der Sprache – Deutsch oder Englisch – eine zufällige Auswahl von sechs Bildern historischer Objekte. Die Spieler\*innen haben die Aufgabe herauszufinden, welche davon aus dem Stadtmuseum Tübingen stammen. In Level 2 können die gefundenen Objekte dann jeweils einem kurzen Text zugeordnet werden. Der Ausspruch ""Dieser Thron ist nicht nur für gekrönte Häupter"" beschreibt zum Beispiel einen hölzernen Nachtstuhl mit geschnitzter Lehne. Konnte ein Objekt richtig zugeordnet werden, erscheint ein Pop-up-Fenster mit einer detaillierten Beschreibung des Objekts.
In einer Weiterentwicklung des Spiels könnten die Spieler\*innen hier eine Bewertung à la Tinder für das jeweilige Objekt abgeben – ""langweilig"" oder ""nicht langweilig"". Bei Einbindung einer Datenbank könnte dieses Feedback wertvolle Informationen für die Konzeption der neuen Dauerausstellung im Stadtmuseum Tübingen liefern.","Webseite (https://erogleva.github.io/boring-things-quiz/), GitHub (https://github.com/erogleva/boring-things-quiz)",,"Architekturzeichnungen zum Neuen Lusthaus in Stuttgart, Die Online-Sammlung der Bayerischen Staatsgemäldesammlungen, Fotografien überlebender Häftlinge des KZ Dachau, Fotosammlung Willy Pragher, Franz von Lenbachs Nachlass und Archiv, Götter und Helden im Miniaturformat, Jesuitentafeln aus Landsberg am Lech, Lauter langweilige Sachen, Per Postbeutel um die Welt, Spielkultur im 19. und 20. Jahrhundert, Telefone: Ruftöne und Geräusche, Tierdarstellungen aus mehreren Jahrhunderten, Zeppelin auf großer Fahrt",,lauter_langweilige_sachen.png,Süd 2019
Kaiserpanorama VR+,https://codingdavinci.de/de/projects/2019_sued/kaiserpanorama.html,Interaktive EInblicke in die Geschichte mithilfe einer VR-Brille und den Funktionen eines historischen Kaiserpanoramas,"Das ""Kaiserpanorama VR+"" begeistert Museumsbesucher\*innen mit interaktiven Einblicken von Dioramen über historische Karten, originale Stereoskopien bis zu immersiven 360-Grad-VR-Erlebnissen der Gegenwart/Zukunft.
Wir stecken Museumsbesucher\*innen mit unserer Begeisterung an: Museumsthemen werden völlig neu erlebbar und zukunftsfähig. Mit dem ""Kaiserpanorama VR+"" zeigen wir in moderner Form den Übergang von Panoramagemälden und Dioramen, dem beginnenden Bildjournalismus von wöchentlich wechselnden handkolorierten stereoskopischen Bilderserien, über das Eintauchen in gesamte hochauflösende Szenen der Gegenwart bis hin zu Zukunftsdarstellungen.
Zwar gibt es neben Dioramen oder Panorama-Gemälden wie Mesdag (Den Haag) inzwischen projizierte Panoramen in Gasometern oder historische Straßenbahnfahrten mit VR-Brillen, doch kaum ein Museum hat die dafür notwendige Rotunde oder ein entsprechendes Budget. Wir jedoch stellen einen Protottyp auf der Fläche eines Fußabtreters vor: ein Drehhocker mit hochwertiger VR-Brille. Über die Anmutung und mit den Funktionen eines historischen Kaiserpanoramas kann jeder von diesem Hocker aus originale Stereoskopien mit den beiden virtuellen Okularen betrachten. Natürlich sind die digitalisierten Glas-Dia-Paare nach den heutigen Kenntnissen stereoskopisch ideal neu montiert. Nach 20 Sekunden ertönt eine Glocke und unter dem echten Kaiserpanorama-Motorengeräusch wird das nächste Stereo-Paar in das Sichtfeld transportiert. Ein Informationsrahmen beschreibt die Darstellung, wie bei einem Fuhrmannschen Kaiserpanorama. Bei den weiteren stereoskopischen Aufnahmen ertönen plötzlich die passenden Umgebungsgeräusche. Und darüber hinaus bietet das ""Kaiserpanorama VR+"" die Möglichkeit, plötzlich mitten in der Szene zu sitzen, umgeben von dem 360-Grad-Panorama!","GitHub (https://github.com/3Dmagic/Stereoskopic), present4D VR-Suite (portal key (https://present4d.com/en/virtual-reality-suite/), Twitter (https://twitter.com/rplus_v)",,"Kartensammlung der Deutschen Bahn, Kolorierte Glas-Stereobilder des Kaiserpanoramas, Porträts aus fünf Jahrhunderten, Zeppelin auf großer Fahrt",,kaiserpanorama.jpg,Süd 2019
Global Postmaster,https://codingdavinci.de/de/projects/2019_sued/global_postmaster.html,"Spiel zur Vermittlung geographischen Wissens - Städte müssen Ländern, Länder ihren Positionen auf der Weltkarte zugeordnet werden","Global Postmaster ist ein Spiel, das geographisches Wissen vermitteln möchte. Es nutzt dazu den Datensatz der internationalen Postbeutel aus dem Bestand der Museumsstiftung Post und Telekommunikation. Der/die Spieler\*in muss Briefe in den richtigen Postbeutel sortieren. Der Brief trägt nur einen Städtenamen, die Länderangabe wurde leider vom Absender vergessen. Nun ist es am Spielenden, die Stadt dem richtigen Land zuzuordnen.
In einem weiteren Modus muss das Land auf der Weltkarte gefunden werden. Im Galerie-Modus kann der/die Spieler\*in alle Postbeutel durchblättern und sich Informationen zu den entsprechenden Ländern ansehen.
Die bunten und interessant bedruckten Postbeutel haben uns zu dem Spiel inspiriert. Wir hoffen, dass die Beutel neugierig auf die Länder machen, aus denen sie kommen, und dass die Spieler\*innen nebenbei vielleicht etwas über das internationale Postwesen erfahren - zu diesem Thema sind auch weitere Spielmodi in Überlegung.
Das Spiel wurde mit der Unity Game Engine umgesetzt, weil diese eine Vielzahl an Möglichkeiten bietet, es auf verschiedenen Systemen zu spielen.",GitHub (https://github.com/sideburns3000/global-postmaster),,Per Postbeutel um die Welt,,global_postmaster.jpg,Süd 2019
GastroGrantler,https://codingdavinci.de/de/projects/2019_sued/gastrograntler.html,In der Rolle einer historischen Persönlichkeit entdeckt man in der virtuellen Stammtisch-App alltägliche und skurrile Gerichte vergangener Zeiten,"In Wirtshäusern kommen sich Menschen näher. Man trifft Freunde, man trifft Fremde, man grantelt, man turtelt, man prügelt, man liebt, man isst, man trinkt – kurz: man interagiert, man menschelt. Beschäftigt sich nun ein Projekt mit digitalisierten, und damit gewissermaßen ihrem sinnlichen Kontext entfremdeten Speisekarten, so muss es auf der Hand liegen, sie so weit wie nur möglich wieder ihrem ursprünglichen, sehr menschlichen und außerordentlich sinnlichen Umfeld zuzuführen.
Wir – das sind Henni, Flo und Alan – haben uns daher entschieden, den Umgang mit dem einzigartigen historischen Karten-Bestand der Monacensia interaktiv-sozial zu gestalten. Manchmal ernst, manchmal witzig, manchmal derb, manchmal raffiniert, manchmal platt – jedoch stets faszinierend! So vielfältig, wie er eben so ist, so ein Wirtshausbesuch.
Dabei herausgekommen ist eine virtuelle Stammtisch-App, die sich schlüssigerweise in manchem den Sozialen Medien – insbesondere etwa Tripadvisor oder Yelp – annähert. Die Anwendung wurde als ""mobile-first"" gestaltet und enthält Elemente einer Progressive Web App, etwa die Möglichkeit, diese auf modernen Geräten wie eine native App auszuführen, auf dem Startbildschirm abzulegen, oder – perspektivisch – die geplante Erweiterung um Push-Benachrichtigungen zu implementieren.
Die GastroGrantler-App besteht aus zwei Hauptmodulen, die ineinander verwoben sind: Durch die Bewertungsapp kann man dank der intuitiven Oberfläche Gasthäuser und Karten erkunden, bewerten und kommentieren. Künftig sollen Normdatenverknüpfungen einen weiterführenden Sucheinstieg bieten. Dank der Kartenfunktion ist es zudem möglich, nicht mehr existente Gasthäuser zu lokalisieren und sogar direkt vor Ort aufzusuchen, so dass zur mittelbar virtuellen auch eine reale, unmittelbar räumlich-erfahrbare Dimension hinzutritt.",GitHub (https://github.com/floriangantner/speisekarten),,"Belege des Fränkischen Wörterbuchs, Münchner Speisekarten der letzten hundert Jahre, Porträts aus fünf Jahrhunderten, Spielkultur im 19. und 20. Jahrhundert",,gastrograntler.jpg,Süd 2019
Fränkische Reise,https://codingdavinci.de/de/projects/2019_sued/fraenkische_reise.html,"Online-Reisespiel durch Franken, um den fränkischen Dialekt (besser) kennenzulernen","Online verfügbares Gamebook, bei dem man auf einer Reise durch Franken immer wieder mit Fragen zum fränkischen Dialekt konfrontiert wird.
Das Game soll eine spielerische (und lustige) Möglichkeit sein, den fränkischen Dialekt näher kennen zu lernen bzw. die eigenen Kenntnisse des Fränkischen zu testen. Das Ganze aber nicht nur im Rahmen eines Quiz, sondern in eine interaktive Story gebettet - das bringt zum einen mehr Spaß an der Sache, zum anderen lernt der Spielende gleichzeitig auch etwas über die größeren Städte in Franken. Gearbeitet haben wir mit Quest, technisch ist das Spiel relativ simpel. Je nach individueller Entscheidung bekommt man ein neues Textsegment angezeigt. Es ist eine Route vorgegeben, trotzdem ergibt sich jeweils eine individuelle Geschichte. Aktuell sind wir nur bis Bayreuth gekommen, doch es sind noch weitere Städte vorgesehen.",Webseite (http://textadventures.co.uk/games/view/wafvlkj26kwjamjxdm3ayw/frankische-reise),,Belege des Fränkischen Wörterbuchs,,fraenkische_reise.png,Süd 2019
Femtett Adventure Game,https://codingdavinci.de/de/projects/2019_sued/femtett.html,"Ein kurzweiliges, webbasiertes Point-and-Click Adventure, bestehend aus historischen Photographien und Grafiken","Tauche ein in eine Welt voller spannender und skurriler Informationen über bedeutende Frauen der Geschichte, löse die Rätsel, finde die Quartette und werde zum Daten-Sammler. Femtett ist ein kurzes, webbasiertes Point-and-Click Adventure, bestehend aus historischen Fotografien und Grafiken. Spielerisch werden kulturhistorische Datensätze aus dem Deutschen Spielearchiv Nürnberg, dem Deutschen Museum und der Universitätsbibliothek Erlangen erfahrbar gemacht. Das Spiel richtet sich an alle, die Lust am Sammeln, an Abenteuern und Wissen haben. Nicht zuletzt hält Femtett Adventure auch für alle Adventure-Lover ein paar Überraschungen bereit.
Das Sammeln von Daten macht Menschen und ihre Geschichten unsterblich. Die Aufgabe von Historiker\*innen und Wissenschaftler\*innen ist es, diese Geschichten aufzudecken und für die Nachwelt zu bewahren. In Femtett Adventure Game begibt sich der/die Spieler\*in selbst auf die Suche. Als Geschichtsdetektiv\*in jagt er/sie nach Zeugnissen von historischen Personen, genauer: Frauen. Seit über 100 Jahren dürfen sie wählen, aber dass viele von ihnen auch für die Geschichte von Bedeutung waren und sind, erfährt man hier spielerisch.
Am Anfang stand die Idee, etwas aus dem Quartettkartenset berühmter Frauen aus dem Spear-Archiv des Deutschen Spielearchivs Nürnberg zu machen und diese um weitere besondere Frauen aus der Porträtsammlung des Deutschen Museums zu ergänzen. Das Ganze sollte jedoch auch spielerisch und unterhaltsam sein, und so war – nicht zuletzt aufgrund persönlicher Neigungen zum Genre – der Gedanke geboren, ein Point-and-click Adventure Game zu entwickeln.
Durch ein klares Spielkonzept, eine einfache technische Umsetzung, viel Liebe zum Detail und die Stärke des Genres ermöglicht Femtett Adventure Game einen schnellen Einstieg ins Geschehen mit belohnenden Herausforderungen. Im Game ist man selbst Abenteurer\*in und Entdecker\*in, ähnlich wie dies bei Historiker\*innen und Wissenschaftler\*innen der Fall ist.","Webseite (https://crisphi.github.io/Femtett/), GitHub (https://github.com/Crisphi/Femtett)",,"Porträts aus fünf Jahrhunderten, Spielkultur im 19. und 20. Jahrhundert",,femtett.jpg,Süd 2019
Evacuate Stuttgart,https://codingdavinci.de/de/projects/2019_sued/evacuate_stuttgart.html,In dem Spiel sollen so viele Menschen wie möglich während Bombenangriffen in den 40er Jahren gerettet werden,"Mit dem Datensatz der ""Destructive Maps"" wollen wir ein Spiel erstellen, in dem der/die Spieler\*in so viele Menschen wie möglich retten muss.
""Evacuate Stuttgart"" basiert auf den historischen Luftangriffsplänen aus den Jahren 1940-45, die vom Stadtarchiv Stuttgart zur Verfügung gestellt wurden. Inmitten der insgesamt 52 Bombenhagel, die auf die Stadt niedergingen, hilft der/die Spieler\*in den Bewohner\*innen des virtuellen Stuttgarts bei einem Bombenalarm in den nächstgelegenen Bunker zu fliehen, er/sie setzt Fluchtwege und organisiert nach dem Angriff die Aufräumarbeiten. Die weitgehende Hilflosigkeit gegenüber dem nächsten Angriff macht Überleben durch bestmöglichen Schutz der Zivilbevölkerung zur einzigen Priorität.
Wir haben uns für den historischen Kartenausschnitt mit der vielsagenden Zahl 10B konzentriert. Dieser Ausschnitt hat das Geschehen rund um den Hauptbahnhof dokumentiert. Hier wissen wir von einem der zahlreichen Schutzbunker, die es in der Stadt gegeben hat, und haben diesen als Anfangsbunker für unser Spiel genommen.
Umgesetzt haben wir das Spiel mit der Unity Engine. Die Website dahinter ist simples HTML, CSS und ein bisschen JS. Leider ist Evacuate Stuttgart nicht auf mobilen Endgeräten spielbar, allerdings kann man sich die zugehörigen Informationen dazu ansehen – diese sind Responsive.","Webseite (http://evacuate-stuttgart.de), GitLab (https://gitlab.com/PaulRdy/codingdavincistuttgart)",,Stuttgarter Luftangriffspläne,,evacuate_stuttgart.jpg,Süd 2019
Das bewegte Kleid,https://codingdavinci.de/de/projects/2018_rm/Das%20bewegte%20Kleid.html,3D-Modell eines Kleides in Bewegung versetzen,"Ein Kleid aus dem Fundus des Historischen Museums Frankfurt haben wir mittels Photogrammetrie aufgenommen.
Aus den Daten entwickelten wir ein 3D-Objekt.
Das so entstandene ""VR""-Kleid soll nun zum Leben erweckt werden.",,,Kleider in Bewegung,remix,bewegtes_kleid.png,Rhein-Main 2018
Brentano2go@VR,https://codingdavinci.de/de/projects/2018_rm/Brentano2go_VR.html,Interaktive 360-Grad-VR-Erlebnislesung von Brentanos Brief,"Vorlesen ist wunderbar, aber nicht alle können teilhaben.
„Brentano2go@VR“ ist daher eine 360-Grad-VR-Erlebnislesung sowohl für den Bundesweiten Vorlesetag am 16.11.2018 als auch für den Kulturhackathon {COD1NG DA V1NC1} RHEIN-MAIN 2018.
Jeder kann dieses 360-Grad-Vorlese-Event miterleben, auch z.B. im Krankenhaus oder Seniorenstift. Ideal ist eine VR-Brille, aber mit Smartphone, Tablet, Notebook oder PC ist ein Miterleben bereits möglich … wenn auch nicht ganz so immersiv.
Brentano berichtet im Jahr 1811 handschriftlich und mit einigen überraschenden Skizzen über eine für ihn unvergessliche Nacht in Köpenick an Susanne Schinkel.
Und wir haben viele Informationen zum besseren Verständnis visuell ergänzt, zeigen die Originale und jeder kann interaktiv alles miterleben - auch per Simultansprachdolmetscher in Gebärdensprache (DGS).
Auf der in der Bereichsbibliothek im Georg-Forster-Haus der Uni Mainz „schwebenden“ Leseinsel trägt Kathrin Dupré die von Dr. Klaus Weber und Karin Eckert der UB Mainz ausgewählten Passagen des Briefes vor.
Rund um die Kamera sind Akzente gesetzt, z.B. mit verschiedenen Bilderrahmen zur Darstellung von Zusatzinformationen, Deko-Elementen, der Metaplanwand für die Gebärdensprachübersetzung sowie einem Flipchartständer, auf der die Vorleserein nochmals aus einer geringfügig anderen Perspektive zu sehen ist. Auf einem Drehsitz verfolge ich live die Lesung mit einer VR-Brille.
In einer weiteren Einstellung kann jeder den Umgang mit den Original-Briefe zusammen mit Karen Stuckert miterleben.",,,Autographen aus der Sammlung Clemens Brentano,VR,brentano2go.jpg,Rhein-Main 2018
Artific,https://codingdavinci.de/de/projects/2018_rm/Artific.html,Empfiehlt Kunstwerke nach persönlichem Geschmack und integriert Kunst in unseren Alltag,"Warum schlechte Bilder aus Möbelhäusern an die Wand hängen, wenn so viele Kunstwerke in einer spektakulären Auflösung und unter freier Lizenz digitalisiert sind? Diese Frage hatten wir uns oft bei Besuchen im Freundeskreis oder bei der Familie leise gestellt. Warum noch einmal der Times Square in einem oberbayerischen Wohnzimmer? Warum der Eiffelturm in dem Zimmer des 12-jährigen Neffen in Polen? Warum eine riesige Holzhängebrücke im Regenwald in einem Pariser Flur? Hätte man laut gefragt, käme vermutlich von allen Seiten eine ähnliche Antwort: „Wir kennen uns mit Kunst nicht aus.“
Gleichzeitig versuchen Museen, mittels Digitalisierung Kunst nicht nur besser zu bewahren, sondern auch bekannter zu machen. Unsere Motivation ist es, sie bei dieser Aufgabe zu unterstützen. Wir bieten einen niedrigschwelligen, spielerischen Zugang zu den Digitalisaten an. Artific ist konzipiert als eine persönliche Mobile-first-Anwendung mit AR-Komponenten – sie macht die Kunst zu Hause erlebbar.
Wichtigstes Ziel von Artific ist, Schwellenängste im Umgang mit Kunst abzubauen. Man muss sich mit Kunst nicht auskennen, um auf eine Entdeckungsreise zu gehen. Eine Reproduktion kann der Anfang einer Kopfreise sein – und führt früher oder später ins Museum.
Ein weiteres Ziel ist, eine Diskussion über nachhaltige Strategien im Bereich Digitalisierung anzustoßen. Warum gibt es in Museen noch so selten Businessmodelle, die explizit auf den digitalisierten Sammlungen aufsetzen?
Gerade im Lifestyle-Bereich boomt der Online-Shopping-Sektor enorm. Nutzerinnen und Nutzer verbringen Stunden auf Pinterest und Co., suchen nach passenden Accessoires, um ihr Zuhause individuell zu gestalten. In den Diskussionen zum digitalen Wandel in den Museen scheint aber die Benjamin-Aura-Debatte wichtiger.","Webseite (https://www.artific.app), GitHub (https://github.com/pitC/digital_art_consultant)",,Städel Museum,"AR, web app",artific.jpg,Rhein-Main 2018
Äpfel und Birnen,https://codingdavinci.de/de/projects/2018/aepfel.html,"Aufgaben lösen und dabei Informationen über die physischen, geschichtlichen und optischen Eigenschaften der Obstsorten erhalten","Äpfel und Birnen ist die beste Mini-GameCompilation, die sich mit Äpfeln, Birnen und Buchhändlern beschäftigt und bei Coding Da Vinci Ost 2018 eingereicht worden ist. In der überaus realistischen Spielwelt tauchen die Spielerin oder der Spieler ein in das spannende Leben von Obst.
Die vermeintliche Auswahl zwischen Äpfeln und Birnen steht zwar im Vordergrund, im Laufe des Spiels wird diese vermeintliche Dichotomie jedoch dekonstruiert. Durch geschickt platzierte informative Hilfetexte wird dieses Spiel auch dem im Team vorzufindenden Bildungsanspruch mehr als gerecht. Informationen über die physischen, geschichtlichen und optischen Eigenschaften der o.g. Obstsorten werden mit modernsten audiovisuellen Kulturtechniken präsentiert.
Historische Figuren aus der Verleger- und Buchhändlerszene runden das Gesamtwerk ab. Für zukünftige Versionen sind aufwändige Lasereffekte geplant.","Webseite (http://aepfelundbirnen.trollofix.com/), GitHub (https://github.com/olf42/aepfel_und_birnen)",,"Deutsche Buchhändler im Porträt, Herbarien aus den Jahren 1729 bis 1731, Modelle antiker Bauwerke aus Kork, Modellfrüchte aus Wachs","web app, game",aepfel_und_birnen.jpg,Ost 2018
